Player,Gls,Ast,xG,xA,Season
Daniel Sturridge,2,1,1.3,1.2,18/19
Divock Origi,3,1,2.1,0.2,18/19
Alberto Moreno,0,0,0,0.2,18/19
Nathaniel Clyne,0,0,0,0,18/19
Alex Oxlade-Chamberlain,0,0,0.3,0,18/19
Rafael Camacho,0,0,0,0,18/19
Virgil van Dijk,5,1,2.9,1.3,19/20
Trent Alexander-Arnold,4,13,2.8,9.9,19/20
Georginio Wijnaldum,4,0,3.1,1.2,19/20
Andrew Robertson,2,12,1.6,7.6,19/20
Roberto Firmino,9,8,13.5,6.3,19/20
Mohamed Salah,19,10,19.4,7.3,19/20
Sadio Mané,18,7,13.8,7.3,19/20
Alisson,0,1,0,0.5,19/20
Jordan Henderson,4,5,1.4,2.8,19/20
Fabinho,2,3,0.4,1.8,19/20
Joe Gomez,0,0,0,0.2,19/20
Alex Oxlade-Chamberlain,4,1,2.9,1.2,19/20
James Milner,2,2,2.1,0.7,19/20
Adrián,0,0,0,0,19/20
Naby Keïta,2,3,1.5,2.3,19/20
Dejan Lovren,0,1,0.3,0.4,19/20
Joël Matip,1,0,0.3,0,19/20
Divock Origi,4,1,2.2,0.2,19/20
Adam Lallana,1,1,1.1,0.7,19/20
Neco Williams,0,0,0.3,0.1,19/20
Takumi Minamino,0,0,1.4,0,19/20
Xherdan Shaqiri,1,0,0.6,0.2,19/20
Curtis Jones,1,0,0.9,0,19/20
Harvey Elliot,0,0,0,0,19/20
Andrew Robertson,1,7,1.4,6.9,20/21
Mohamed Salah,22,5,20.9,6.3,20/21
Trent Alexander-Arnold,2,7,2.8,8.1,20/21
Georginio Wijnaldum,2,0,3.2,1.7,20/21
Alisson,1,0,0.1,0,20/21
Roberto Firmino,9,7,12.6,6.4,20/21
Sadio Mané,11,7,15.2,5.7,20/21
Fabinho,0,0,0.4,0.4,20/21
Thiago Alcántara,1,0,1.4,2.3,20/21
Jordan Henderson,1,1,1.7,1.4,20/21
Nathaniel Phillips,1,1,1.1,0.4,20/21
Curtis Jones,1,2,1.4,1.6,20/21
Diogo Jota,9,0,6.6,1.6,20/21
James Milner,0,1,0.4,1.2,20/21
Ozan Kabak,0,0,0.1,0.2,20/21
Joël Matip,1,2,0.6,1,20/21
Rhys Williams,0,0,0.5,0.4,20/21
Naby Keïta,0,0,0.5,0.8,20/21
Joe Gomez,0,0,0,0,20/21
Xherdan Shaqiri,0,2,0.4,3,20/21
Virgil van Dijk,1,0,0.3,0,20/21
Adrián,0,0,0,0,20/21
Neco Williams,0,0,0.1,0.3,20/21
Takumi Minamino,1,0,0.7,0,20/21
Alex Oxlade-Chamberlain,1,1,0.4,0.2,20/21
Divock Origi,0,0,1,0.2,20/21
Caoimhín Kelleher,0,0,0,0,20/21
Kostas Tsimikas,0,0,0,0,20/21
Ederson,0,0,0,0.1,17/18
Kevin De Bruyne,8,16,6.2,13.4,17/18
Nicolás Otamendi,4,0,2.7,0.7,17/18
Fernandinho,5,3,2.7,2.5,17/18
Kyle Walker,0,6,0.7,4.8,17/18
Raheem Sterling,18,11,18.3,7.5,17/18
David Silva,9,11,7.3,7.7,17/18
Leroy Sané,10,15,5.7,8,17/18
Sergio Agüero,21,6,17.5,7.4,17/18
Fabian Delph,1,2,0.2,1.2,17/18
